uuid,female,male,other,skip,total
1327f71c-329a-4157-ae61-cc3d23195195,0,3,0,0,3
14f3a31f-5d02-490c-80ac-93ad2666f68c,0,3,0,0,3
266edee1-537c-42a2-b61e-ebd2fd62810d,0,3,0,0,3
32ebf9e7-174b-4125-ae59-27af1304988d,0,3,0,0,3
35226a3a-de15-48b3-b003-67345c2d2a30,0,3,0,0,3
3a3d6bcb-e433-467c-bda2-3eb6379d5463,0,3,0,0,3
4b960724-79d9-4e32-b20a-fec30c1b87f3,0,3,0,0,3
529c4529-d055-4baf-b8a1-a80e29ad2cc5,0,3,0,0,3
646e13cb-4505-4a64-9040-d3c0feffc926,0,3,0,0,3
7906fece-ef08-4f5c-8732-ec086ff370bc,0,3,0,0,3
79f0e799-55ab-409a-8a70-c5deb0a84f06,0,3,0,0,3
7c6cb1d5-c28d-4f8f-910c-1a19d5d32ad0,0,3,0,0,3
82e0a4b3-68c7-4734-a396-f4263dd34128,0,3,0,0,3
8b09e6e0-3dac-4e17-b5e8-5eb5d1c9bdc5,0,3,0,0,3
d9c11037-3588-4ba3-97a2-e6af87dff040,3,0,0,0,3
db40bc32-3847-48ed-a65c-eb721be86bd4,0,3,0,0,3
f52e41df-8d85-4289-99b1-83aa08f55b9d,0,3,0,0,3
f83db73b-32f5-45c9-bb8c-65e6c7585031,3,0,0,0,3
fb023a79-7847-4dcf-b634-8792a8d3bd5a,0,3,0,0,3
