id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
8a4af210-ad10-4e48-935d-c81f4415d480,ANA KOMPARIĆ DEVČIĆ,ANA KOMPARIĆ DEVČIĆ,,,,SDP,sdp,area/8th,8th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44450,
05fd28ec-26a2-49e1-bfd5-535fac65798d,ANDRIJA MIKULIĆ,ANDRIJA MIKULIĆ,,,,HDZ,hdz,area/2nd,2nd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44468,
1dd782d4-a4b9-41d4-9f65-524b47e0c37b,ANKA MRAK-TARITAŠ,ANKA MRAK-TARITAŠ,,,,HNS,hns,area/2nd,2nd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44647,
c9f72f69-f607-4384-a67f-82f08a9b7686,ANTE SANADER,ANTE SANADER,,,,HDZ,hdz,area/9th,9th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44486,
fe00c20d-b281-42d8-a088-4104de56f419,ANTE ŽUPAN,ANTE ŽUPAN,,,,HDZ,hdz,area/9th,9th,Sabor,8,2016-01-22,,http://www.sabor.hr/lgs.axd?t=16&id=44503,
07a569a1-7bdf-4694-b92f-052a65bf2087,ANTUN VIDAKOVIĆ,ANTUN VIDAKOVIĆ,,,,HDZ,hdz,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44574,
6880a7b8-d875-4d1c-83bd-aede50e188ba,ANĐELKO STRIČAK,ANĐELKO STRIČAK,,,,HDZ,hdz,area/3rd,3rd,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44493,
6a304134-0843-4115-89f7-461c442668d0,ARSEN BAUK,ARSEN BAUK,,,,SDP,sdp,area/10th,10th,Sabor,8,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Arsen_Bauk.jpg,male
69195d8f-9f20-4ecc-b87f-ecb6dee80942,BLAŽENKO BOBAN,BLAŽENKO BOBAN,,,,HDZ,hdz,area/10th,10th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44546,
5cfc0daf-6585-4789-b987-6b3dadd9be08,BORIS LALOVAC,BORIS LALOVAC,,,,SDP,sdp,area/6th,6th,Sabor,8,,,http://www.sabor.hr/lgs.axd?t=16&id=44558,
9c401840-738e-420c-9f1f-34ee40d28ca0,BORIS MILETIĆ,BORIS MILETIĆ,,,,IDS,ids,area/8th,8th,Sabor,8,,,,
