id,name,role,party_id,party,area_id,area,term,image,source,honorific_prefix,gender
hon-mr.-dominic-gaskin,Mr. Dominic Gaskin,Minister of Business,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3878/dominic-2.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-mr.-dominic-gaskin/,,
hon-mr.-winston-dacosta-jordan,Mr. Winston DaCosta Jordan,Minister of Finance,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3881/jordan.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon-mr.-winston-dacosta-jordan/,,
hon.-nicolette-o.-henry-m.p,Nicolette O. Henry,Minister within the Ministry of Education,APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3889/nicolette.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon.-nicolette-o.-henry-m.p/,,
mr-audwin-rutherford-m.p,Mr Audwin Rutherford,"",APNU-AFC,A Party For National Unity + Alliance For Change,"","",11,http://parliament.gov.gy/images/member_photos/3896/audwyn.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-audwin-rutherford-m.p/,,
hon.-simona-broomes-m.p,Simona Broomes,Minister within the Ministry of Social Protection,unkown,Unknown,"","",11,http://parliament.gov.gy/images/member_photos/3888/simona.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/hon.-simona-broomes-m.p/,,
mr-jermaine-figueira-m.p,Mr Jermaine Figueira,"",APNU-AFC,A Party For National Unity + Alliance For Change,10,Upper Demerara/Upper Berbice,11,http://parliament.gov.gy/images/member_photos/3892/jermain.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/mr-jermaine-figueira-m.p/,,
ms.-rajcoomarie-bancroft,Ms. Rajcoomarie Bancroft,"",APNU-AFC,A Party For National Unity + Alliance For Change,8,Potaro/Siparuni,11,http://parliament.gov.gy/images/member_photos/3890/bancroft.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/ms.-rajcoomarie-bancroft/,,
alister-s.-charlie,Alister S. Charlie,"",PPP-Civic,People Progressive Party/Civic,9,Upper Takutu/Upper Essequibo,11,http://parliament.gov.gy/images/member_photos/4025/mr._alister_s._charlie_m.p..jpg,http://parliament.gov.gy/about-parliament/parliamentarian/alister-s.-charlie/,,
charles-s.-ramson,Charles S. Ramson,"",PPP-Civic,People Progressive Party/Civic,"","",11,http://parliament.gov.gy/assets/images/no-image-person.jpg,http://parliament.gov.gy/about-parliament/parliamentarian/charles-s.-ramson/,,
clive-r.-jagan,Clive R. Jagan,"",unkown,Unknown,"","",11,"http://parliament.gov.gy/images/member_photos/4030/dr._clive_r._jagan,_m.p..jpg",http://parliament.gov.gy/about-parliament/parliamentarian/clive-r.-jagan/,,
